stem,position,category,meaning,who_definition,chinese,target_classes,mechanisms,chemical_classes,indications,examples,infix_required,allowed_infixes,exclusion_rules,priority,source
-dapsone,suffix,mechanism_stem,"antimycobacterials, diaminodiphenylsulfone derivatives",,,,,small_molecule,,acedapsone;amidapsone;dapsone,false,,,10,WHO INN Programme
-dil,suffix,mechanism_stem,vasodilators,,地尔,,,small_molecule,cardiovascular disease,netarsudil;dilpacimab;fostedil;dilevalol;onfasprodil;dilmefone;dioxadilol;methdilazine,false,,,10,WHO INN Programme
-dipine,suffix,target_class_stem,"calcium channel blockers, nifedipine derivatives",,地平,ion_channel,antagonist,small_molecule,,isrodipine;vatanidipine;lercanidipine;lacidipine;emildipine;oxodipine;cilnidipine;flordipine,false,,,10,WHO INN Programme
-dopa,suffix,target_class_stem,"dopamine receptor agonists, dopamine derivatives, used as antiparkinsonism/prolactin inhibitors",,多巴,gpcr,inhibitor;agonist,small_molecule,parkinson disease,foslevodopa;methyldopa;foscarbidopa;zelandopam;dopamantine;levodopa,false,,,10,WHO INN Programme
-dotin,suffix,mechanism_stem,synthetic derivatives of dolastatin series,,多丁,,,small_molecule,,trastuzumab botidotin;cemadotin;aprutumab ixadotin;belantamab mafodotin;denintuzumab mafodotin;depatuxizumab mafodotin;vorsetuzumab mafodotin;anvatabart opadotin,false,,,10,WHO INN Programme
-drine,suffix,mechanism_stem,sympathomimetics,,君,,,small_molecule,,pscudoephedrine;butidrine;theophylline ephedrine;tetrandrine;oxyfedrine;cafedrine;etafedrine;bedoradrine,false,,,10,WHO INN Programme
-entan,suffix,target_class_stem,endothelin receptor antagonists,,坦,gpcr,antagonist;agonist,small_molecule,,sufentanil;avosentan;atrasentan;darusentan;merpentan;aprocitentan;nebentan;fentanyl,false,,,10,WHO INN Programme
-eridine,suffix,target_class_stem,"analgesics, pethidine derivatives and other synthetic small molecule µ-opioid receptor agonists",,利定,gpcr,agonist,small_molecule,pain,anileridine;carperidine;etoxeridine;morpheridine;oxpheneridine;pheneridine;phenoperidine;properidine,false,,,10,WHO INN Programme
-ertinib,suffix,target_class_stem,epidermal growth factor receptor (EGFR) inhibitors,,替尼,growth_factor,inhibitor,small_molecule,,epertinib;lazertinib;mavelertinib;mifanertinib;mobocertinib;olafertinib;osimertinib;rezivertinib,false,,,10,WHO INN Programme
-fibrate,suffix,target_class_stem,"clofibrate derivatives, peroxisome proliferator activated receptor-α (PPAR-α) agonists",,贝特,,agonist,small_molecule,,salafibrate;pirifibrate;urefibrate;calcium clofibrate;pemafibrate;etofibrate;bezafibrate;nicofibrate,false,,,10,WHO INN Programme
-frine,suffix,mechanism_stem,"sympathomimetic, phenethyl derivatives",,福林,,,small_molecule,,berefrine;norfenefrine;oxilofrine;pivenfrine,false,,,10,WHO INN Programme
-fungin,suffix,mechanism_stem,antifungal antibiotics,,芬净,,inhibitor,small_molecule,infectious disease,abafungin;anidulafungin;basifungin;caspofungin;cilofungin;fusafungine;kalafungin;micafungin,false,,,10,WHO INN Programme
-fylline,suffix,mechanism_stem,N-methylated xanthine derivatives,,茶碱,,,small_molecule,,acefylline clofibrol;acefylline piperazine;albifylline;aminophylline;apaxifylline;arofylline;bamifylline;cipamfylline,false,,,10,WHO INN Programme
-gliflozin,suffix,mechanism_stem,"sodium glucose co-transporter inhibitors, phlorizin derivatives",,格列净,,inhibitor,small_molecule,,mizagliflozin;bexagliflozin;sotagliflozin;ipragliflozin;empagliflozin;ertugliflozin;canagliflozin;tofogliflozin,false,,,10,WHO INN Programme
-gliptin,suffix,mechanism_stem,dipeptidyl aminopeptidase–IV inhibitors,,格列汀,,inhibitor,small_molecule,,,false,,,10,WHO INN Programme
-grel,suffix,mechanism_stem,platelet aggregation inhibitors,,格雷-或-格雷,,inhibitor,small_molecule,thrombosis,parogrelil;becondogrel;prasugrel;evategrel;regrelor;midazogrel;elinogrel;cangrelor,false,,,10,WHO INN Programme
-imod,suffix,mechanism_stem,"immunomodulators, both stimulant/suppressive and stimulant",,莫德,immune_checkpoint;cytokine,agonist;modulator,small_molecule,,pixatimod;cupabimod;tilsotolimod;rezuforimod;urcosimod;balamapimod;lapretolimod;bentamapimod,false,,,10,WHO INN Programme
-imus,suffix,mechanism_stem,immunosuppressants (other than antineoplastics),,莫司,immune_checkpoint;cytokine,,small_molecule,cancer,manitimus;zotarolimus;tallimustine;laporolimus;elimusertib;olcorolimus;laflunimus;everolimus,false,,,10,WHO INN Programme
-ium,suffix,mechanism_stem,quaternary ammonium compounds,,铵,,,small_molecule,,azamethonium bromide;decamethonium bromide;iodide;dimecolinium iodide;fubrogonium iodide;hexamethonium bromide;mebezonium iodide;oxydipentonium chloride,false,,,10,WHO INN Programme
-kin,suffix,mechanism_stem,interleukin type substances,,白介素,immune_checkpoint;cytokine,,small_molecule,,briakinumab;denileukin diftitox;secukinumab;icotrokinra;amunaleukin;oprelvekin;erepdekinra;celmoleukin,false,,,10,WHO INN Programme
-kinra,suffix,target_class_stem,interleukin receptor antagonists and interleukin antgonists,,白滞素,immune_checkpoint;cytokine;gpcr,antagonist;agonist,small_molecule,,icotrokinra;erepdekinra;isunakinra;navepdekinra;anakinra;simepdekinra,false,,,10,WHO INN Programme
-lisib,suffix,target_class_stem,"phosphatidylinositol 3-kinase inhibitors, antineoplastics",,利西,kinase;enzyme,inhibitor,small_molecule,cancer,dezapelisib;voxtalisib;sonolisib;zandelisib;seletalisib;buparlisib;pictrelisib;copanlisib,false,,,10,WHO INN Programme
-lukast,suffix,target_class_stem,leukotriene receptor antagonists,,鲁司特,gpcr,antagonist;agonist,small_molecule,,verlukast;iralukast;montelukast;tipelukast;cinalukast;ritolukast;gemilukast;masilukast,false,,,10,WHO INN Programme
-mab,suffix,chemical_class_stem,monoclonal antibodies (previous naming scheme),,单抗,,antibody,monoclonal_antibody,,gavilimomab;bentracimab;depemokimab;zolbetuximab;placulumab;eluvixtamab;ixekizumab;lemzoparlimab,true,-xi-;-zu-;-li-;-tu-;-ci-;-ba-;-ga-;-ma-;-ta-;-ri-,,10,WHO INN Programme
-meline,suffix,target_class_stem,cholinergic agents (muscarine receptor agonists/ partial antagonists used in the treatment of Alzheimer’s disease),,美林,,antagonist;agonist,small_molecule,,alvameline;cevimeline;itameline;milameline;revosimeline;sabcomeline;tazomeline;xanomeline,false,,,10,WHO INN Programme
-mer,suffix,chemical_class_stem,polymers,,,,,polymer,,mercuderamide;abdavomeran;bretovameran;zeldesmeran;quozovameran;leuciglumer;merimepodib;mereletinib,false,,,10,WHO INN Programme
-micin,suffix,mechanism_stem,"aminoglycosides, antibiotics obtained from various Micromonospora",,米星,,inhibitor,small_molecule,infectious disease,maduramicin;betamicin;camicinal;etisomicin;megalomicin;rosaramicin;plazomicin;rosamicin,false,,,10,WHO INN Programme
-milast,suffix,mechanism_stem,Phosphodiesterase-4 (PDE4) inhibitors,,米司特,enzyme,inhibitor,small_molecule,,oglemilast;mufemilast;roflumilast;tanimilast;idrebormilast;indimilast;zatolmilast;piclamilast,false,,,10,WHO INN Programme
-mustine,suffix,mechanism_stem,"antineoplastic, alkylating agents, (β-chloroethyl) amine derivatives",,莫司汀,,,small_molecule,cancer,uramustine;galamustine;mannomustine;tallimustine;tauromustine;ambamustine;pentamustine;atrimustine,false,,,10,WHO INN Programme
-mycin,suffix,mechanism_stem,"antibiotics, produced by Streptomyces strains (see also -kacin)",,霉素,,inhibitor,small_molecule,infectious disease,retaspimycin;oleandomycin;heliomycin;lucimycin;rutamycin;spectinomycin;surotomycin;neomycin,false,,,10,WHO INN Programme
-navir,suffix,mechanism_stem,Human Immunodeficiency Virus (HIV) protease inhibitors,,韦,enzyme,inhibitor,small_molecule,hiv infection,atazanavir;tipranavir;elunonavir;mozenavir;indinavir;amprenavir;darunavir;droxinavir,false,,,10,WHO INN Programme
-nertant,suffix,mechanism_stem,neurotensin antagonists,,,,antagonist;agonist,small_molecule,,meclinertant;replaces reminertant,false,,,10,WHO INN Programme
-netant,suffix,target_class_stem,neurokinin NK3 receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,elinzanetant;fezolinetant;osanetant;pavinetant;talnetant,false,,,10,WHO INN Programme
-nidazole,suffix,mechanism_stem,"antiprotozoals and radiosensitizers, metronidazole derivatives",,硝唑,,,small_molecule,infectious disease,,false,,,10,WHO INN Programme
-nidine,suffix,target_class_stem,α2 adrenoreceptor agonists,,尼定,gpcr,agonist,small_molecule,,betanidine;indanidine;rilmenidine;tiamenidine;octenidine;pirtenidine;sulfaguanidine;robenidine,false,,,10,WHO INN Programme
-olol,suffix,target_class_stem,β-adrenoreceptor antagonists,,洛尔,gpcr,antagonist;agonist,small_molecule,,tiprenolol;afurolol;bisoprolol;bunolol;cloranolol;pargolol;carteololum-;levonebivolol,false,,,10,WHO INN Programme
-olone,suffix,mechanism_stem,steroids other than prednisolone derivatives,,隆,nuclear_receptor,,small_molecule,,deloxolone;citiolone;descinolone;quinbolone;oxymetholone;oxandrolone;bardoxolone;ganaxolone,false,,,10,WHO INN Programme
-one,suffix,mechanism_stem,ketones,,布宗,,,small_molecule,,,false,,,10,WHO INN Programme
-onide,suffix,mechanism_stem,"steroids for topical use, acetal derivatives",,奈德,nuclear_receptor,,small_molecule,,acrocinonide;amcinonide;budesonide;ciclesonide;cicortonide;ciprocinonide;desonide;dexbudesonide,false,,,10,WHO INN Programme
-oxacin,suffix,mechanism_stem,"antibacterials, nalidixic acid derivatives",,沙星,,inhibitor,small_molecule,infectious disease,ofloxacin;ozenoxacin;irloxacin;alalevonadifloxacin;levonadifloxacin;besifloxacin;difloxacin;olamufloxacin,false,,,10,WHO INN Programme
-oxetine,suffix,mechanism_stem,"serotonin and/or norepinephrine reuptake inhibitors, fluoxetine derivatives",,西汀,gpcr,inhibitor,small_molecule,,atomoxetine;ampreloxetine;ansoxetine;dapoxetine;duloxetine;edivoxetine;esreboxetine;femoxetine,false,,,10,WHO INN Programme
-pamil,suffix,target_class_stem,"calcium channel blocker, verapamil derivatives",,帕米,ion_channel,antagonist,small_molecule,,anipamil;dagapamil;devapamil;dexverapamil;emopamil;etripamil;falipamil;gallopamil,false,,,10,WHO INN Programme
-parib,suffix,chemical_class_stem,poly-ADP-Ribose polymerase inhibitors,,帕利,enzyme,inhibitor,polymer,,saruparib;veliparib;lotixparib;pamiparib;talazoparib;lerzeparib;rucaparib;nesuparib,false,,,10,WHO INN Programme
-parin,suffix,mechanism_stem,heparin derivatives including low molecular mass heparins,,肝素,,,small_molecule,,adomiparin sodium;ardeparin sodium;bemiparin sodium;certoparin sodium;dalteparin sodium;deligoparin sodium;enoxaparin sodium;heparin sodium,false,,,10,WHO INN Programme
-penem,suffix,mechanism_stem,analogues of penicillanic acid antibiotics modified in the five-membered ring perfl(u)- perfluorinated compounds used as blood substitutes and/or diagnostic agents,,培南,,inhibitor,small_molecule,infectious disease,panipenem;razupenem;meropenem;tomopenem;lenapenem;rupenem;tacapenem;doripenem,false,,,10,WHO INN Programme
-perone,suffix,mechanism_stem,"tranquillizers, neuroleptics, 4’-fluoro-4piperidinobutyrophenone derivatives",,哌隆,,,small_molecule,psychiatric disorders,amiperone;declenperone;lumateperone;aceperone;flusplperone;lodiperone;deulumateperone;roxoperone,false,,,10,WHO INN Programme
-platin,suffix,mechanism_stem,"antineoplastic agents, platinum derivatives",,铂,,,small_molecule,cancer,ormaplatin;picoplatin;enloplatin;zeniplatin;spiroplatin;imifoplatin;eptaplatin,false,,,10,WHO INN Programme
-poetin,suffix,mechanism_stem,erythropoietin type blood factors,,促红素,,,small_molecule,,epoetin epsilon,false,,,10,WHO INN Programme
-porfin,suffix,mechanism_stem,benzoporphyrin derivatives,,,,,small_molecule,,stannsoporfin;temoporfin;verteporfin;padoporfin;cosiporfin;talaporfin;padeliporfin;rostaporfin,false,,,10,WHO INN Programme
-pramine,suffix,mechanism_stem,substances of the imipramine group,,帕明,,,small_molecule,,lopramine;trimipramine;azipramine;mosapramine;carpipramine;quinupramine;ketimipramine;desipramine,false,,,10,WHO INN Programme
-prazole,suffix,mechanism_stem,"antiulcer, benzimidazole derivatives",,拉唑,,,small_molecule,gastrointestinal disorders,aripiprazole;leminoprazole;fuprazole;levolansoprazole;brexpiprazole;esaprazole;ufiprazole;esomeprazole,false,,,10,WHO INN Programme
-pressin,suffix,mechanism_stem,vasopressin analogues,,加压素,,,small_molecule,,velmupressin;felypressin;selepressin;invopressin;orpressin;argipressin;lypressin;terlipressin,false,,,10,WHO INN Programme
-pride,suffix,mechanism_stem,sulpiride derivatives and analogues,,必利,,,small_molecule,,lirexapride;mosapride;bromopride;ticalopride;clebopride;cipropride;pridefine;sulverapride,false,,,10,WHO INN Programme
-pril,suffix,target_class_stem,angiotensin-converting enzyme inhibitors,,普利,gpcr;enzyme,inhibitor,small_molecule,,seprilose;fosinoprilat;tricaprilin;drapril;rindopril;priliximab;zabicipril;prilocaine,false,,,10,WHO INN Programme
-profen,suffix,mechanism_stem,"anti-inflammatory agents, ibuprofen derivatives",,洛芬,,,small_molecule,inflammatory diseases,atliprofen;ketoprofen;isoprofen;cliprofen;profenamine hydrochloride;xibuprofen;mexoprofen;dexketoprofen,false,,,10,WHO INN Programme
-relin,suffix,chemical_class_stem,pituitary hormone-release stimulating peptides,,瑞林,nuclear_receptor,,peptide,,,false,,,10,WHO INN Programme
-rsen,suffix,mechanism_stem,antisense oligonucleotides,,,,,oligonucleotide,,cenersen;atesidorsen;vupanorsen;ersentilide;farabursen;tacadirsen;vesleteplirsen;trabedersen,false,,,10,WHO INN Programme
-sartan,suffix,target_class_stem,"angiotensin II receptor antagonists, antihypertensive (non-peptidic)",,沙坦,gpcr,antagonist;agonist,small_molecule,cardiovascular disease,candesartan;losartan;tisartan;fimasartan;valsartan;olmesartan;telmisartan;azilsartan,false,,,10,WHO INN Programme
-semide,suffix,mechanism_stem,"diuretics, furosemide derivatives",,塞米,,,small_molecule,,galosemide;torasemide;furosemide,false,,,10,WHO INN Programme
-serpine,suffix,mechanism_stem,derivatives of Rauwolfia alkaloids,,舍平,,,small_molecule,,capeserod;piboserod;sulamserod;tegaserod;bietaserpine;mefeserpine;reserpine;chloroserpidine,false,,,10,WHO INN Programme
-setron,suffix,target_class_stem,serotonin receptor antagonists (5-HT3) not fitting into other established groups of serotonin receptor antagonists,,司琼,gpcr,antagonist;agonist,small_molecule,,arazasetron;bemesetron;cilansetron;granisetron;ondansetron;tropisetron;dolasetron;alosetron,false,,,10,WHO INN Programme
-spirone,suffix,mechanism_stem,"anxiolytics, buspirone derivatives",,螺酮,,,small_molecule,psychiatric disorders,alnespirone;perospirone;enilospirone;binospirone;zalospirone;tandospirone,false,,,10,WHO INN Programme
-stat,suffix,target_class_stem,enzyme inhibitors,,司他,enzyme,inhibitor,small_molecule,,,false,,,10,WHO INN Programme
-steride,suffix,mechanism_stem,androgens/anabolic steroids,,雄胺,nuclear_receptor,,small_molecule,,bexlosteride;lapisteride;turosteride;finasteride;izonsteride,false,,,10,WHO INN Programme
-stigmine,suffix,mechanism_stem,acetylcholinesterase inhibitors,,斯的明,,inhibitor,small_molecule,,,false,,,10,WHO INN Programme
-stim,suffix,mechanism_stem,colony stimulating factors,,司亭,,,small_molecule,,sargramostim;telpegfilgrastim;pegacaristim;pegbovigrastim;idapegfilgrastim;muplestim;milodistim;pegteograstim,false,,,10,WHO INN Programme
-tant,suffix,target_class_stem,neurokinin (tachykinin) receptor antagonists,,坦,gpcr,antagonist;agonist,small_molecule,,casopitant;reminertant;pavinetant;dazodeunetant;maropitant;telmapitant;rolapitant;fosrolapitant,false,,,10,WHO INN Programme
-teplase,suffix,mechanism_stem,"tissue type plasminogen activators, see -ase",,酶,,agonist,small_molecule,,alteplase;desmoteplase;duteplase;lanoteplase;monteplase;nateplase;pamiteplase;reteplase,false,,,10,WHO INN Programme
-terol,suffix,mechanism_stem,"bronchodilators, phenethylamine derivatives",,特罗,,,small_molecule,,olodaterol;milveterol;reproterol;sulfonterol;abediterol;indacaterol;carmoterol;amiterol,false,,,10,WHO INN Programme
-tiazem,suffix,target_class_stem,"calcium channel blockers, diltiazem derivatives",,硫卓,ion_channel,antagonist,small_molecule,,diltiazem;siratiazem,false,,,10,WHO INN Programme
-tide,suffix,chemical_class_stem,"peptides and glycopeptides (for special groups of peptides see -actide, -pressin, -relin, -tocin)",,克肽,,,peptide,,,false,,,10,WHO INN Programme
-tidine,suffix,target_class_stem,"histamine-H2-receptor antagonists, cimetidine derivatives",,替丁,gpcr,antagonist;agonist,small_molecule,,etidine;sufotidine;hexetidine;lamtidine;lafutidine;propinetidine;ramixotidine;famotidine,false,,,10,WHO INN Programme
-tinib,suffix,target_class_stem,tyrosine kinase inhibitors,,替尼,kinase;enzyme,inhibitor,small_molecule,,ilunocitinib;derazantinib;pexidartinib;epertinib;ropsacitinib;povorcitinib;lestaurtinib;pacritinib,false,,,10,WHO INN Programme
-tizide,suffix,mechanism_stem,"diuretics, chlorothiazide derivatives",,噻嗪,,,small_molecule,,,false,,,10,WHO INN Programme
