english,chinese,latin,french,spanish,atc
pyroxylin,火棉,pyroxylinum,pyroxyline,piroxilina,
racemethorphan,消旋甲啡烷,racemethorphanum,racéméthorphane,（士）méthoxy-3 N-méthylmorphinane,
racemorphan,消旋啡烷,racemorphanum,racémorphane,racemorfano,
rutoside,芦丁,rutosidum,rutoside,rutósido,
salacetamide,醋水杨胺,salacetamidum,salacétamide,N-acétyl salicylamide,
salazosulfamide,柳氮磺胺,salazosulfamidum,acide p-sulfamido phénylazosalicylique,salazosulfamida,
salazosulfathiazole,柳氮磺噻唑,salazosulfathiazolum,salazosulfathiazol,salazosulfatiazol,
salicylamide,水杨酰胺,salicylamidum,salicylamide,salicilamida,
secretin,胰泌素,secretinum,secrétine,synonyme:solution de Ringer lactée,
stearylsulfamide,硬脂磺胺,stearylsulfamidum,stéarylsulfamide,stéarylsulfanilamide,
stibamine glucoside,锑巴葡胺,stibamini glucosidum,stibamine glucoside,estibamina glucósido,
stibosamine,沙胺,stibosaminum,stibosamine,estibosamina,
streptomycin,链霉素,streptomycinum,streptomycine,estreptomicina,
subathizone,舒巴硫腙,subathizonum,subathizone,subatizona,
sulfacetamide,磺胺醋酰,sulfacetamidum,sulfacétamide,sulfacetamida,
sulfachrysoidine,磺胺柯定,sulfachrysoidinum,sulfachrysoïdine,sulfacrisoidina,
sulfadiasulfone sodium,磺胺苯砜钠,sulfadiasulfonum natricum,sulfadiasulfone sodique,sulfadiasulfona de sodio,
sulfadimidine,磺胺二甲嘧啶,sulfadimidinum,"diméthyl-4,6 sulfanilamido-2 pyrimidine",sulfadimidina,
sulfafurazole,磺胺异唑,sulfafurazolum,sulfafurazol,sulfafurazol,
sulfamethizole,磺胺甲二唑,sulfamethizolum,sulfaméthizol,sulfametizol,
sulfapyridine,磺胺吡啶,sulfapyridinum,sulfathio-urée,sulfapiridina,
sulfisomidine,磺胺索嘧啶,sulfisomidinum,"diméthyl-2,4 suIfanilamido-6 pyrimidine",sulfisomidina,
sulfogaiacol,愈创木酚磺酸钾,sulfogaiacolum,sulfogaïacol,sulfoguayacol,
suramin sodium,舒拉明钠,suraminum natricum,suramine sodique,suramina de sodio,
suxamethonium chloride,氯琥珀胆碱,suxamethonii chloridum,chlorure de suxaméthonium,cloruro de suxametonio,
suxethonium chloride,琥乙氯铵,suxethonii chloridum,chlorure de suxéthonium,cloruro de suxetonio,
tetrylammonium bromide,四乙溴铵,tetrylammonii bromidum,bromure de tétrylammonium,bromuro de tetrilamonio,
thiacetarsamide sodium,硫胂胺钠,thiacetarsamidum natricum,thiacétarsamide sodique,tiacetarsamida de sodio,
thiamazole,甲巯咪唑,thiamazolum,thiamazol,tiamazol,
thiazosulfone,噻唑砜,thiazosulfonum,thiazosulfone,tiazosulfona,
thioacetazone,氨硫脲,thioacetazonum,thioacétazone,tioacetazona,
thiodiglycol,硫双乙醇,thiodiglycolum,thiodiglycol,tiodiglicol,
thiomersal,硫柳汞,thiomersalum,thiomersal,tiomersal,
tocamphyl,托坎非,tocamphylum,tocamphyl,tocanfilo,
tolazoline,妥拉唑林,tolazolinum,tolazoline,tolazolina,
trimethadione,三甲双酮,trimethadionum,triméthadione,"triméthyl-3,5,5 oxazolidine dione-2,4",
tuaminoheptane,异庚胺,tuaminoheptanum,méthyl-1 hexylamine,tuaminoheptano,
tubocurarine chloride,氯筒箭毒碱,tubocurarini chloridum,chlorure de tubocurarine,cloruro de tubocurarina,
tyrothricin,短杆菌素,tyrothricinum,tyrothricine,tirotricina,
urethane,乌拉坦,urethanum,uréthane,carbamate d'éthyle,
vanyldisulfamide,香草磺胺,vanyldisulfamidum,vanyldisulfamide,vanildisulfamida,
vinbarbital,戊烯比妥,vinbarbitalum,vinbarbital,vinbarbital,
levallorphan,左洛啡烷,levallorphanum,lévallorphane,levalorfano,
diethylthiambutene,二乙噻丁,diethylthiambutenum,diéthylthiambutène,dietiltiambuteno,
dimethylthiambutene,二甲噻丁,dimethylthiambutenum,diméthylthiambutène,dimetiltiambuteno,
ethylmethylthiambutene,乙甲噻丁,ethylmethylthiambutenum,éthylméthylthiambutène,etilmetiltiambuteno,
acetarsol,乙酰胂胺,acetarsolum,acétarsol,acetarsol,
acetylcholine chloride,氯乙酰胆碱,acetylcholini chloridum,chlorure d'acétylcholine,cloruro de acetilcolina,
ascorbic acid,维生素C,acidum ascorbicum,acide ascorbique,ácido ascórbico,
folic acid,叶酸,acidum folicum,acide folique,ácido fólico,
iophenoic acid,碘芬酸,acidum iophenoicum,acide iophénoïque,ácido iofenoico,
nicotinic acid,烟酸,acidum nicotinicum,acide nicotinique,ácido nicotínico,
aminophylline,氨茶碱,aminophyllinum,aminophylline,aminofilina,
aminopterin sodium,氨蝶呤钠,aminopterinum natricum,aminoptérine sodique,aminopterina de sodio,
arsthinol,胂噻醇,arsthinolum,arsthinol,arstinol,
buclizine,布克力嗪,buchzinum,buclizine,buclizina,
butacaine,布他卡因,butacainum,butacaïne,butacaína,
carbachol,卡巴胆碱,carbacholum,carbachol,carbacol,
carbarsone,卡巴胂,carbarsonum,carbarsone,carbarsona,
carbinoxamine,卡比沙明,carbinoxaminum,carbinoxamine,carbinoxamina,
carzenide,卡西尼特,carzenidum,carzénide,carcenida,
chiniofon,喹碘方,chiniofonum,chiniofon,quiniofón,
chlorobutanol,三氯叔丁醇,chlorobutanolum,chlorobutanol,clorobutanol,
chlorocresol,氯甲酚,chlorocresolum,chlorocrésol,clorocresol,
chlorphenamine,氯苯那敏,chlorphenaminum,chlorphénamine,clorfenamina,
chlortetracycline,金霉素,chlortetracyclinum,chlortétracycline,clortetraciclina,
choline chloride,氯化胆碱,cholini chloridum,chlorure de choline,cloruro de colina,
conessine,可内新,conessinum,conessine,conesina,
cycrimine,赛克立明,cycriminum,cycrimine,cicrimina,
desoxycortone,去氧皮质酮,aesoxycortonum,désoxycortone,desoxicortona,
dibrompropamidine,双溴丙脒,dibrompropamidinum,dibrompropamidine,dibrompropamidina,
dichloroxylenol,二氯二甲酚,dichloroxylenolum,dichloroxylénol,dicloroxilenol,
digoxin,地高辛,digoxinum,digoxine,digoxina,
dihexyverine,双己维林,dihexyverinum,dihexyvérine,dihexiverina,
dihydralazine,双肼屈嗪,dihydralazinum,dihydralazine,dihidralazina,
dimazole,地马唑,dimazolum,dimazol,dimazol,
erythromycin,红霉素,erythromycinum,érythromycine,eritromicina,
hydroxystilbamidine,羟巴脒,hydroxystilbamidinum,hydroxystilbamidine,hidroxiestilbamidina,
isophane insulin,低精蛋白胰岛素,isophanum insulinum,isophane insuline,insulina isófana,
levothyroxine sodium,左甲状腺素钠,levothyroxinum natricum,lévothyroxine sodique,levotiroxina de sodio,
lobeline,洛贝林,lobelinum,lobéline,lobelina,
meclozine,美克洛嗪,meclozinum,méclozine,meclozina,
melarsoprol,美拉胂醇,metarsoprelum,mélarsoprol,melarsoprol,
mersalyl,汞撒利,mersalylum,mersalyl,mersalilo,
methionine,甲硫氨酸,methioninum,méthionine,metionina,
methylcellulose,甲基纤维素,methylcellulosum,méthylcellulose,metilcelulosa,
methylpentynol,甲戊炔醇,methylpentynolum,méthylpentynol,metilpentinol,
neoarsphenamine,新胂凡纳明,neoarsphenaminum,néoarsphénamine,neoarsfenamina,
neostigmine bromide,溴新斯的明,neostigmini bromidum,bromure de néostigmine,bromuro de neostigmina,
nikethamide,尼可刹米,nicethamidum,nicéthamide,niquetamida,
nicotinamide,烟酰胺,nicotinamidum,nicotinamide,nicotinamida,
pentetrazol,戊四氮,pentetrazolum,pentétrazol,pentetrazol,
phenacaine,非那卡因,phenacainum,phénacaïne,fenacaína,
phenacetin,非那西丁,phenacelinum,phénacétine,fenacetina,
phenazone,安替比林,phenazonum,phénazone,fenazona,
phenazopyridine,非那吡啶,phenazopyridinum,phénazopyridine,fenazopiridina,
phenobarbital sodium,苯巴比妥钠,phenobarbitalum natricum,phénobarbital sodique,fenobarbital de sodio,
phenytoin,苯妥英,phenytoinum,phénytoïne,fenitoína,
pramocaine,普莫卡因,pramocainum,pramocaïne,pramocaína,
primidone,扑米酮,primidonum,primidone,primidona,
progesterone,黄体酮,progesteronum,progestérone,progesterona,
proguanil,氯胍,proguanilum,proguanil,proguanil,
quinisocaine,奎尼卡因,quinisocainum,quinisocaïne,quinisocaína,
reserpine,利血平,reserpinum,réserpine,reserpina,
secobarbital,司可巴比妥,secobarbitalum,sécobarbital,secobarbital,
solasulfone,苯丙砜,solasulfonum,solasulfone,solasulfona,
succinylsulfathiazole,琥珀磺胺噻唑,succinylsulfathiazolum,succinylsulfathiazol,succinilsulfatiazol,
sulfadiazine,磺胺嘧啶,sulfadiazinum,sulfadiazine,sulfadiazina,
sulfadicramide,磺胺戊烯,sulfadicramidum,sulfadicramide,sulfadicramida,
sulfaguanidine,磺胺脒,sulfaguanidinum,sulfaguanidine,sulfaguanidina,
sulfamerazine,磺胺甲嘧啶,sulfamerazinum,sulfamérazine,sulfamerazina,
sulfamerazine sodium,磺胺甲嘧啶钠,sulfamerazinum natricum,sulfamérazine sodique,sulfamerazina de sodio,
sulfanilamide,磺胺,sulfanilamidum,sulfanilamide,sulfanilamida,
sulfaproxyline,磺胺普罗林,sulfaproxylinum,sulfaproxyline,sulfaproxilina,
sulfarsphenamine,硫胂凡纳明,sulfarsphenaminum,sulfarsphénamine,sulfarsfenamina,
sulfathiazole,磺胺噻唑,sulfathiazolum,sulfathiazol,sulfatiazol,
testosterone,睾酮,testosteronum,testostérone,testosterona,
tetrabarbital,替曲比妥,tetrabarbitalum,tétrabarbital,tetrabarbital,
tetracaine,丁卡因,tetracainum,tétracaïne,tetracaína,
tetracycline,四环素,tetracycluum,tétracycline,tetraciclina,
thialbarbital,硫烯比妥,thialbarbitalum,thialbarbital,tialbarbital,
thiamine,维生素B1,thiaminum,thiamine,tiamina,
thiopental sodium,硫喷妥钠,thiopentalum natricum,thiopental sodique,tiopental de sodio,
thiotetrabarbital,硫替比妥,thiotetrabarbitalum,thiotétrabarbital,tiotetrabarbital,
tolonium chloride,托洛氯铵,tolonii chloridum,chlorure de tolonium,cloruro de tolonio,
tosylchloramide sodium,氯胺T钠,tosylchloramidum natricum,tosylchloramide sodique,tosilcloramida de sodio,
tretamine,曲他胺,tretanunum,trétamine,tretamina,
tricyclamol chloride,三环氯铵,tricyclamoli chloridum,chlorure de tricyclamol,cloruro de triciclamol,
tryparsamide,锥虫胂胺,tryparsamidum,tryparsamide,triparsamida,
viomycin,紫霉素,viomycinum,viomycine,viomicina,
acetylmethadol,醋美沙多,acctylmethadolum,acétylméthadol,acetilmetadol,
alphacetylmethadol,阿醋美沙多,alphacetylmethadolum,alphacétylméthadol,alfacetilmetadol,
alphamethadol,阿法美沙多,alphamethadolum,alphaméthadol,alfametadol,
anileridine,阿尼利定,anileridinum,aniléridine,anileridina,
betacetylmethadol,倍醋美沙多,betacetylmethadolum,bétacétylméthadol,betacetilmetadol,
betaprodine,倍他罗定,betaprodinum,bétaprodine,betaprodina,
desomorphine,地索吗啡,desomorphinum,désomorphine,desomorfina,
dipipanone,地匹哌酮,dipipanonum,dipipanone,dipipanona,
ethoheptazine,依索庚嗪,ethoheptazinum,éthoheptazine,etoheptazina,
methyldihydromorphine,甲二氢吗啡,methyldihydromorphinum,méthyldihydromorphine,metildihidromorfina,
myrophine,麦罗啡,myrophinum,myrophine,mirofina,
normethadone,去甲美沙酮,normethadonum,norméthadone,normetadona,
pheneridine,苯乙利定,pheneridinum,phénéridine,feneridina,
phenomorphan,非诺啡烷,henomorphanum,phénomorphane,fenomorfano,
proheptazine,普罗庚嗪,proheptazinum,proheptazine,proheptazina,
thebacon,醋氢可酮,thebaconum,thébacone,tebacón,
acenocoumarol,醋硝香豆素,acenocoumarolum,acénocoumarol,acenocumarol,
acetazolamide,乙酰唑胺,acetazolamidum,acétazolamide,acetazolamida,
aldosterone,醛固酮,aldosteronum,aldostérone,aldosterona,
ambenonium chloride,安贝氯铵,ambenonii chloridum,chlorure d'ambénonium,cloruro de ambenonio,
ambucaine,氨布卡因,ambucainum,ambucaïne,ambucaína,
ambucetamide,氨布醋胺,ambucetamidum,ambucétamide,ambucetamida,
aminometradine,氨美啶,aminometiadinum,aminométradine,aminometradina,
amiphenazole,阿米苯唑,amiphenazolum,amiphénazol,amifenazol,
amisometradine,阿米美啶,amisometradinum,amisométradine,amisometradina,
amolanone,阿莫拉酮,amolanonum,amolanone,amolanona,
azacyclonol,阿扎环醇,azacyclonolum,azacyclonol,azaciclonol,
bemegride,贝美格,bemegridum,bémégride,bemegrida,
benactyzine,贝那替秦,benactyzinum,bénactyzine,benacticina,
benzonatate,苯佐那酯,benzonatatum,benzonatate,benzonatato,
betazole,倍他唑,betazolum,bétazole,betazol,
bietamiverine,比坦维林,bietamiverinum,biétamivérine,bietamiverina,
busulfan,白消安,busulfanum,busulfan,busulfano,
captodiame,卡普托胺,captodiamum,captodiame,captodiamo,
chlordimorine,氯地吗啉,chlordimorinum,chlordimorine,clordimorina,
chlorhexidine,氯己定,chlorhexidinum,chlorhexidine,clorhexidina,
chloroprocaine,氯普鲁卡因,chloroprocainum,chloroprocaïne,cloroprocaína,
chloroxylenol,氯二甲酚,chloroxylenolum,chloroxylénol,cloroxilenol,
cinnofuradione,辛呋二酮,cinnofuradionum,cinnofuradione,cinofuradiona,
clidinium bromide,克利溴铵,clidinii bromidum,bromure de clidinium,bromuro de clidinio,
crotamiton,克罗米通,crotamitonum,crotamiton,crotamitón,
cryofluorane,克立氟烷,cryofluoranum,cryofluorane,criofluorano,
cyclomethycaine,环美卡因,cyclomethycainum,cyclométhycaïne,ciclometicaína,
cycloserine,环丝氨酸,cycloserinum,cyclosérine,cicloserina,
demecolcine,秋水仙胺,demecolcinum,démécolcine,demecolcina,
deserpidine,地舍平,deserpidinum,déserpidine,deserpidina,
dextromoramide,右吗拉胺,dextromoramidum,dextromoramide,dextromoramida,
dichlorophen,双氯酚,dichlorophenum,dichlorophène,diclorofeno,
dicycloverine,双环维林,dicycloverinum,dicyclovérine,dicicloverina,
dimethoxanate,地美索酯,dimethoxanatum,diméthoxanate,dimetoxanato,
dioxethedrin,二羟西君,dioxethedrinum,dioxéthédrine,dioxetedrina,
diphenadione,二苯茚酮,diphenadionum,diphénadione,difenadiona,
diphenylpyraline,二苯拉林,diphenylpyralinum,diphénylpyraline,difenilpiralina,
dipyrocetyl,地匹乙酯,dipyrocetylum,dipyrocétyl,dipirocetilo,
dyclonine,达克罗宁,dycloninum,dyclonine,diclonina,
ecothiopate iodide,碘依可酯,ecothiopati rodidum,iodure d'écothiopate,ioduro de ecotiopato,
endomycin,恩多霉素,endomycinum,endomycine,endomicina,
ethinamate,炔己蚁胺,ethinamatum,éthinamate,etinamato,
ethotoin,乙苯妥英,ethotoinum,éthotoïne,etotoína,
ethypicone,乙匹康,ethypiconum,éthypicone,etipicona,
etoxeridine,依托利定,etoxeridinum,étoxéridine,etoxeridina,
florantyrone,夫洛梯隆,florantyronum,florantyrone,florantirona,
fluoxymesterone,氟甲睾酮,fluoxymesteronum,fluoxymestérone,fluoximesterona,
forminitrazole,福米硝唑,forminitrazolum,forminitrazol,forminitrazol,
glucurolactone,葡醛内酯,glucurolactonum,glucurolactone,glucurolactona,
halothane,氟烷,halothanum,halothane,halotano,
hexetidine,海克替啶,hexetidinum,hexétidine,hexetidina,
histapyrrodine,希司咯定,histapyrrodinum,histapyrrodine,histapirrodina,
homarylamine,后马胺,homarylaminum,homarylamine,homarilamina,
hydroxyzine,羟嗪,hydroxyzinum,hydroxyzine,hidroxizina,
isometheptene,异美汀,isometheptenum,isométheptène,isometepteno,
isothipendyl,异西喷地,isothipendylum,isothipendyl,isotipendilo,
lauralkonium chloride,劳拉氯铵,lauralkonii chloridum,chlorure de lauralkonium,cloruro de lauralconio,
levomoramide,左吗拉胺,levomoramidum,lévomoramide,levomoramida,
liothyronine,碘塞罗宁,liothyroninum,liothyronine,liotironina,
mecamylamine,美卡拉明,mecamylaminum,mécamylamine,mecamilamina,
mercaptopurine,巯嘌呤,meprobamatum,mercaptopurine,mercaptopurina,
